"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"DYNC2H1",81.9042318239463,-1.20511473932486,0.281133216177535,3.08962434827414e-06,3.48703807935707e-05,"Down"
"MMP19",522.871939179378,-1.36818431753691,0.323157332301984,3.09831471379641e-06,3.4945196958268e-05,"Down"
"AADAC",16.938692846642,-1.9587105687384,0.476272159469505,3.13142344638118e-06,3.52951398025623e-05,"Down"
"CCDC167",139.809704913266,1.51980425533056,0.362055323001831,3.16209668297371e-06,3.55935345084797e-05,"Up"
"EIF4E3",155.635695429949,-1.16451693663353,0.271279024602801,3.16499446104629e-06,3.56025123448286e-05,"Down"
"MGAM",38.1107528208586,-2.05787413591973,0.503143224114475,3.17971978927875e-06,3.57444362518921e-05,"Down"
"ADAM29",31.5706375353148,-2.13665462563637,0.52350117060512,3.18702988527231e-06,3.58028698576118e-05,"Down"
"FAM179A",82.4522551591883,-1.37325469644496,0.324964758176243,3.2224114557658e-06,3.61763701974449e-05,"Down"
"RP11-113D6.10",60.1816969940869,-1.5728468155945,0.377234514421503,3.2904561615903e-06,3.69158258446584e-05,"Down"
"ZEB1",329.787537104809,-1.18270961683328,0.276444496694237,3.298195293151e-06,3.69781789745342e-05,"Down"
"CYP2U1",47.6811338053453,-1.03864055356156,0.239903249118698,3.34194490476732e-06,3.74439193824293e-05,"Down"
"GULP1",192.695960593983,-1.17079549417041,0.273964052207863,3.3586394795598e-06,3.76061139085189e-05,"Down"
"CLDN19",49.8090612345882,-1.42858844627124,0.340111507522129,3.40896940101167e-06,3.81444549742243e-05,"Down"
"TCTEX1D1",30.9408388039063,-2.71280359670541,0.678469324527277,3.41582972052487e-06,3.81960062152622e-05,"Down"
"ABCG2",24.5621584155783,-1.7825354345485,0.433636652425307,3.5054171917814e-06,3.91461345422123e-05,"Down"
"HBB",2303.16193270344,-2.60770359413847,0.652706686191403,3.54406580341215e-06,3.95516810397911e-05,"Down"
"DPYS",32.4034369913271,-4.10233553917596,0.65930032026,3.575505214726e-06,3.98265074076358e-05,"Down"
"CERS2",1156.79863826101,1.08090395304519,0.251477536188895,3.59153419032053e-06,3.99671343001506e-05,"Up"
"CDCA4",175.823410735943,1.31300394527088,0.310939120197478,3.59553404469932e-06,3.99681922136019e-05,"Up"
"NGFR",227.314130655754,-1.51750920074947,0.364889449172777,3.62960830645755e-06,4.0320524253649e-05,"Down"
"CTAGE5",285.202317747183,-1.05955159324865,0.246442187327091,3.6613246945436e-06,4.06462188748547e-05,"Down"
"USP53",346.750370254694,-1.34233939578094,0.319957093087654,3.68031096470227e-06,4.08302562000215e-05,"Down"
"CH25H",91.9257933996924,-1.60753744362156,0.388859368675439,3.69530071311695e-06,4.09697434197244e-05,"Down"
"GNG2",200.962099391961,-1.31391419054524,0.312123917144125,3.70256224965715e-06,4.10234217360706e-05,"Down"
"CLMP",334.295747362529,-1.22885019628012,0.290147128917157,3.72408034908172e-06,4.12348857463314e-05,"Down"
"IL15",263.294122852399,-1.3468954232968,0.320798936762042,3.72836445686793e-06,4.12553748517136e-05,"Down"
"CHM",165.855719538228,-1.23902423923328,0.292909545223265,3.75057283194378e-06,4.14470082445312e-05,"Down"
"LRRC8D",235.83081242769,1.09132226035667,0.255153563656257,3.81129591468553e-06,4.20632085584304e-05,"Up"
"SLIT3",768.58978906233,-1.0788943286208,0.252001900046115,3.83437271821336e-06,4.22903619513032e-05,"Down"
